	feature: travel depth: median	feature: travel depth: MAD	feature: travel depth: mean	feature: travel depth: SD	feature: travel depth: skew	feature: travel depth: kurtosis	feature: travel depth: 25%	feature: travel depth: 75%	feature: geodesic depth: median	feature: geodesic depth: MAD	feature: geodesic depth: mean	feature: geodesic depth: SD	feature: geodesic depth: skew	feature: geodesic depth: kurtosis	feature: geodesic depth: 25%	feature: geodesic depth: 75%	feature: mean curvature: median	feature: mean curvature: MAD	feature: mean curvature: mean	feature: mean curvature: SD	feature: mean curvature: skew	feature: mean curvature: kurtosis	feature: mean curvature: 25%	feature: mean curvature: 75%	feature: freesurfer curvature: median	feature: freesurfer curvature: MAD	feature: freesurfer curvature: mean	feature: freesurfer curvature: SD	feature: freesurfer curvature: skew	feature: freesurfer curvature: kurtosis	feature: freesurfer curvature: 25%	feature: freesurfer curvature: 75%	feature: freesurfer thickness: median	feature: freesurfer thickness: MAD	feature: freesurfer thickness: mean	feature: freesurfer thickness: SD	feature: freesurfer thickness: skew	feature: freesurfer thickness: kurtosis	feature: freesurfer thickness: 25%	feature: freesurfer thickness: 75%	feature: freesurfer convexity (sulc): median	feature: freesurfer convexity (sulc): MAD	feature: freesurfer convexity (sulc): mean	feature: freesurfer convexity (sulc): SD	feature: freesurfer convexity (sulc): skew	feature: freesurfer convexity (sulc): kurtosis	feature: freesurfer convexity (sulc): 25%	feature: freesurfer convexity (sulc): 75%	feature: mean position: x	feature: mean position: y	feature: mean position: z	feature: mean position in standard space: x	feature: mean position in standard space: y	feature: mean position in standard space: z	feature: Laplace-Beltrami spectrum: component 2	feature: Laplace-Beltrami spectrum: component 3	feature: Laplace-Beltrami spectrum: component 4	feature: Laplace-Beltrami spectrum: component 5	feature: Laplace-Beltrami spectrum: component 6	feature: Laplace-Beltrami spectrum: component 7	feature: Laplace-Beltrami spectrum: component 8	feature: Laplace-Beltrami spectrum: component 9	feature: Laplace-Beltrami spectrum: component 10	feature: Zernike moments: component 1	feature: Zernike moments: component 2	feature: Zernike moments: component 3	feature: Zernike moments: component 4	feature: Zernike moments: component 5	feature: Zernike moments: component 6	feature: Zernike moments: component 7	feature: Zernike moments: component 8	feature: Zernike moments: component 9	feature: Zernike moments: component 10	feature: Zernike moments: component 11	feature: Zernike moments: component 12	feature: Zernike moments: component 13	feature: Zernike moments: component 14	feature: Zernike moments: component 15	feature: Zernike moments: component 16	feature: Zernike moments: component 17	feature: Zernike moments: component 18	feature: Zernike moments: component 19	feature: Zernike moments: component 20	feature: Zernike moments: component 21	feature: Zernike moments: component 22	feature: Zernike moments: component 23	feature: Zernike moments: component 24	feature: Zernike moments: component 25	feature: Zernike moments: component 26	feature: Zernike moments: component 27	feature: Zernike moments: component 28	feature: Zernike moments: component 29	feature: Zernike moments: component 30	feature: Zernike moments: component 31	feature: Zernike moments: component 32	feature: Zernike moments: component 33	feature: Zernike moments: component 34	feature: Zernike moments: component 35	feature: Zernike moments: component 36
parte: lingual	2.55997	2.256049	4.1594334125	4.4758130237	0.6798978199	0.1812257694	0.69906	6.43373	4.16325	3.08781	5.458198977	5.1386058545	0.5363590813	0.1216129803	1.39264	8.10114	-3.24354	1.3888	-2.9201208878	2.5376202156	-0.3649268244	-0.1399733657	-4.48182	-1.60409	-0.1105203405	0.1112676344	-0.092141407	0.1654004877	-0.5675431926	-0.6178585543	-0.2095889151	0.0158726927	1.8298766613	0.4279611111	1.8674569168	0.592353633	0.3066685353	-0.1161562357	1.4035364389	2.2586009502	-0.2530164421	0.3487644494	-0.2147743534	0.5133730032	-0.2920988026	-0.6855190048	-0.5926644802	0.1059085429	-11.7108877301	-39.291766185	-23.8991339647	-11.9224678771	-70.4422019297	-3.4572206341	5.6135632938	12.8046145655	20.1841083462	25.5096562114	39.4531688389	43.838013603	52.7588646835	59.9760071624	73.6188721515	0.0024503472	0.0031325712	0.0016386814	0.0004678432	4.78818202254167E-05	0.0005175895	0.0026107003	0.0047324787	0.0039824575	0.0026419644	0.0017810492	0.0021311378	0.0047143318	0.0048651365	0.0040160678	0.0035843876	0.0016710656	0.0042334566	0.004880268	0.004351794	0.0013113854	0.0036978256	0.0045943433	0.0041056473	0.0010378107	0.0032142521	0.004273615	0.0008275367	0.0027932662	0.0039862215	0.0006634172	0.0024254038	0.0005337901	0.0021016745	0.0004306045	0.0003480635
parte: medialorbitofrontal	1.28799	1.233161	2.6286358033	3.6041857169	0.4153183525	0.4886231394	0.172192	4.04467	2.29657	2.2120914	3.6157076491	4.470605113	0.3998983503	0.5062280075	0.172192	5.56218	-2.61962	1.57751	-2.6795066628	2.4886525075	-1.0842901446	0.0128287391	-4.35942	-1.17102	-0.0786865056	0.1161658317	-0.0872513605	0.1833664046	-0.9441014867	1.2356979765	-0.2024651319	0.0281389393	2.6563539505	0.419126749	2.65127474	0.6876985936	0.1738580806	0.1940418324	2.2517383099	3.0877902508	-0.2319005877	0.303431496	-0.2159651617	0.4361227731	-0.9406772166	-0.5932266764	-0.5206497312	0.0844156817	-2.2256204059	53.1685146847	9.7987070436	-6.1267856493	31.02730302	-16.0328691808	4.1351161516	14.8648487273	15.6198087477	19.1017883442	35.5343087826	39.5245992285	49.4925598226	59.738435004	61.5983896888	0.0023774116	0.0025648791	0.0009435393	0.0001507542	0.0001313358	0.0002529985	0.0028038842	0.0043288769	0.0029521462	0.001658399	0.0008732224	0.002519097	0.0047580027	0.0041839231	0.0030100301	0.0020951448	0.002148256	0.0046396436	0.0047521278	0.0039039898	0.0018137881	0.0043202282	0.004909253	0.0044101372	0.0015341789	0.0039464372	0.0048362953	0.0013037838	0.0035762056	0.0046444754	0.0011131483	0.0032292486	0.0009540372	0.0029100913	0.0008201877	0.0007069748
parte: middletemporal	1.95415	1.9160625	4.3727854419	5.51162542	0.3901810437	-0.5263504123	0.108168	7.33117	2.67024	2.6201061	5.0499529705	6.2110956835	0.4474383963	-0.3814290086	0.108168	8.0861	-4.31311	2.00047	-4.156247644	2.9769209821	-0.8420356528	-0.6366703875	-6.24935	-2.20772	-0.1399240792	0.1317744553	-0.1386614794	0.1734569815	-0.9905936823	-0.6316254082	-0.2717106342	-0.0085001681	3.1055457592	0.4309237003	3.1259234369	0.6384165701	0.7005900522	-0.0070598391	2.6721630096	3.5336561203	-0.4308952093	0.2872778028	-0.3682392359	0.5119038265	-0.2947025699	-0.097324384	-0.7012467384	-0.117219165	-52.8537793379	1.511259989	-13.0572864348	-59.6065669975	-29.8342390707	-13.3369142786	2.2272626427	6.9602176509	17.387522999	25.8278061029	30.9514332574	44.2331223206	57.1257427435	61.5309508426	77.6540859396	0.0051671773	0.0080716956	0.0053743513	0.000023022	0.0034970144	0.0032379665	0.0039507953	0.0094937905	0.0112557015	0.0075369077	0.0018423373	0.0018445988	0.0059097241	0.0097009532	0.0103918632	0.0074532673	0.0009960258	0.0037448631	0.0071556475	0.0092217547	0.000617156	0.0026699872	0.0057535275	0.0081492938	0.0003085082	0.0015353052	0.0038126387	0.0001758286	0.0009692285	0.0026479227	0.0001260426	0.0007705973	7.26067607880756E-05	0.0004914742	3.64341239902548E-05	2.33538966724302E-05
parte: parahippocampal	1.4199	1.274483	2.8633648398	3.2460956244	0.2213751445	-1.0142115448	0.41036	4.53697	2.88512	2.11552	4.0536432419	4.0095897597	0.2408059421	-0.6521390652	1.2035975	5.95593	-3.75106	1.79591	-3.315667973	2.5116700009	-0.2630931477	-1.0775394493	-5.23426	-1.43007	-0.1069036499	0.0973552689	-0.0979030595	0.1338702923	-0.8326935146	0.2942422443	-0.1982222497	0.006219246	2.6381216049	0.5679365396	2.7503469481	0.8676555935	0.7858657535	-0.0405012728	2.0926380157	3.2333703041	-0.2853036821	0.2845940523	-0.2445498906	0.3874207317	-0.344334754	-0.8516751442	-0.5432593226	0.0462296605	-19.5369568884	0.5765015552	-20.989288617	-22.4350448916	-32.7727147876	-20.7548871394	5.5081865058	15.1316701686	17.416435423	30.42543682	38.8467049565	54.067908832	55.9320803905	68.8525014513	75.8073201286	0.001766631	0.0034192314	0.0038725597	0.0030930118	0.0015680764	0.000020076	0.0011102905	0.0031719754	0.0051387934	0.0060500931	0.0054980843	0.0004928207	0.0018392338	0.003804771	0.0056824829	0.0066891123	0.0001952257	0.0008938328	0.0022311909	0.0039837089	7.3635474755238E-05	0.0003974854	0.0011548164	0.0023784957	2.76305449282557E-05	0.0001710803	0.0005640745	1.06625314260822E-05	7.43326964920087E-05	0.0002735501	4.26483000634604E-06	3.30777219804413E-05	1.73832039524191E-06	1.48657573006636E-05	7.07821869645459E-07	2.85747848613542E-07
parte: paracentral	2.63663	2.5582206	4.4763025623	4.9515365604	0.1321470624	-1.1018651601	0.246728	7.70223	3.63027	3.517775	5.2870349964	5.4572391346	0.0498011888	-1.144899705	0.246728	8.8721	-2.86051	1.65273	-2.5157620575	2.6970079638	-0.345936752	-0.4682170602	-4.31373	-0.999057	-0.0691163689	0.0988672674	-0.067336942	0.1341038939	-0.9477379958	-0.306893364	-0.1607987583	0.0378066152	2.4053637981	0.4163640738	2.4136435064	0.6017824445	0.6482992671	0.0852659723	1.9941232204	2.8321313858	-0.2172972262	0.3742225468	-0.1430789011	0.5720897328	-0.4165800511	-0.7118744741	-0.5203405619	0.2285211235	-7.3110257016	-26.8567166205	44.6573875153	-8.8629072751	-26.4066166564	59.9565041422	6.961227326	14.3345784088	22.6769426883	31.9226552317	41.6268154602	58.7087979377	60.6649611223	70.96615492	84.0431485946	0.0010380758	0.0016071404	0.0010479589	3.16811170333149E-07	0.0006117551	0.0004490507	0.0009713638	0.0022744441	0.0025546397	0.001503671	0.00009171	0.0006465579	0.0019922107	0.0030301674	0.0027983977	0.0014432648	0.0003857663	0.0014627373	0.0027640157	0.0033157233	0.0002175097	0.0009748133	0.0021846071	0.003167142	0.0001185028	0.0006109583	0.0015765964	6.32512623454459E-05	0.0003679206	0.0010710576	3.34946405807667E-05	0.0002166239	1.78610902974801E-05	0.0001269623	9.75785298098504E-06	0.00000554
parte: parsopercularis	8.34508	5.08002	9.3884562173	7.0795690139	-0.2392748341	-1.0955420073	3.72165	14.1266	10.4133	5.44154	11.5096300614	8.0017404851	-0.2125481254	-0.8776235529	5.4928275	16.6292	-3.60071	2.30557	-3.682635726	3.1852434005	-0.9833323608	-0.7495817289	-6.13759	-1.52035	-0.1007468849	0.1295551825	-0.112755555	0.1739924065	-1.1794985643	-0.4003473852	-0.2384777814	0.0164943654	2.9102299213	0.3027217388	2.8491483522	0.4686000238	0.2331514684	-0.2755390087	2.5503676534	3.1792013645	-0.2493922412	0.3512085006	-0.2102309634	0.5747764585	-0.6225322404	-0.6924869499	-0.5938390493	0.1187298	-39.0136479518	29.6884102552	25.1894355142	-46.2050743077	14.8473704909	11.3296614344	5.3861893368	15.8051252126	20.6789586709	26.3962925312	39.7071889321	44.9404826847	63.9902477803	70.0905500119	79.9801553816	0.0020691251	0.0035890695	0.0031618499	0.0013006533	0.0006417343	0.0015021373	0.0016553233	0.0042962076	0.0058609052	0.0051278961	0.0025649568	0.0009304924	0.003168614	0.0056700055	0.0068028296	0.00570288	0.0004643704	0.0019430758	0.0042506371	0.0063037396	0.0002175262	0.0010737381	0.0027544446	0.0047991989	9.82584537155663E-05	0.0005561011	0.0016255743	0.00004373	0.0002779073	0.0009065059	1.95997125699364E-05	0.000137845	9.01929315840238E-06	6.96102630195587E-05	4.29660481411993E-06	0.000002105
parte: parsorbitalis	0.353682	0.343544	2.0405467835	2.7283288728	0.3369722298	-1.0989389132	0.0589622	3.90624	1.0477	1.0227287	2.6293314253	3.368506399	0.3942547519	-0.9876580849	0.0589622	4.83287	-5.45143	1.4511	-4.7042032959	2.684488243	-0.1798246271	-1.0666611624	-6.702645	-3.32608	-0.1511264592	0.0709604323	-0.1338776006	0.1331617559	-0.5538724241	-0.6071389608	-0.2201437205	-0.0783827528	3.1367945671	0.2797107697	3.0918061996	0.4961260288	-0.4607567009	0.4008581456	2.8513975143	3.4159963131	-0.7015494108	0.2476197481	-0.643731523	0.3952243837	-0.3914907297	-1.0280970069	-0.9444386363	-0.4424915016	-35.2823384071	62.4703979165	14.1901193043	-43.3156525582	40.0064080161	-16.4556213283	7.549383207	12.1136673631	19.4373916194	31.9594745661	42.9611076746	48.594681033	58.9858460312	65.6372942662	82.4789781769	0.0016337665	0.001694231	9.04856002128108E-05	0.0005950014	0.000002115	0.0002982012	0.0020140751	0.0032752529	0.0016058528	0.0002797846	0.000141611	0.001809161	0.0038806998	0.0030700687	0.0006845358	5.85032860394624E-05	0.0014871061	0.0039060865	0.0040930227	0.0018406527	0.0011752507	0.0036238092	0.0046471483	0.0029261125	0.0009095744	0.0032030811	0.0048138091	0.0006953766	0.0027428392	0.0046988193	0.0005275973	0.0022973466	0.0003983712	0.0018934779	0.0002998742	0.0002253024
parte: parstriangularis	5.04477	4.491369	6.8151991263	7.0440625109	-0.2386342064	-1.0440842053	1.08524	10.8358	5.94032	4.66501	7.5890355226	7.3817521927	-0.3025765018	-1.041521407	1.61875	11.8853	-3.59507	2.54728	-3.5682980581	3.3664797795	-0.8947476984	-0.8174144309	-6.40538	-1.30489	-0.1196774244	0.1322336495	-0.1151889491	0.1782510857	-1.1971536366	-0.2700714225	-0.2426704019	0.0234007072	2.7074913979	0.3432559967	2.7282558871	0.464194516	0.6923115637	-0.1389714814	2.3754086494	3.0648818016	-0.3590378761	0.4122341275	-0.23925823	0.6607911856	-0.5396058929	-0.9631000253	-0.7195987701	0.147039175	-36.3790931255	46.9072119438	23.7312230194	-44.0186194691	30.1355030162	1.1298781568	6.0335541158	17.2016826876	19.1821269469	31.9005624147	42.8525752508	47.3971526893	56.9016490108	74.9914248068	79.1811529009	0.0011447383	0.0013302555	6.32007363570353E-05	0.0010148705	0.0006747729	0.000431399	0.0013736163	0.0026262248	0.0017285976	0.000678715	0.001632873	0.0011461774	0.0029883417	0.0032588414	0.0013206338	0.0015496445	0.0008468833	0.0027723121	0.0040670812	0.0030275666	0.0005874655	0.0023023361	0.0041788911	0.0042863513	0.0003920908	0.0017830214	0.0038240102	0.0002550749	0.0013163376	0.0032389777	0.0001630143	0.0009389217	0.0001028728	0.0006528303	0.000064337	3.99808543753646E-05
parte: pericalcarine	9.773425	3.003955	10.0616389919	4.3792787208	-0.392822792	-0.5306122779	6.92673	12.9509	11.908	3.6265	12.5176650808	5.6420487002	0.1221171548	-0.4082087105	8.53817	15.8006	-1.14902	1.844955	-1.1032123741	2.8042284004	-1.0767045925	-0.0198468348	-2.89479	0.87816	0.021063542	0.0994342584	0.0114310135	0.1606319146	-1.1146228633	-0.174902435	-0.088428393	0.109550273	1.4101059437	0.3563224077	1.5349288535	0.5452153286	0.831335632	-0.1183721387	1.1109390259	1.899494946	0.1738405302	0.3071538284	0.2099971469	0.4344988417	-0.6042583575	-0.6545141703	-0.1049048305	0.5270522833	-13.2347887719	-53.4776940019	-21.2080969837	-13.0336845964	-82.3017398879	6.4637733138	3.930119867	14.7158444201	23.538720033	31.4554675635	33.5011473123	47.8467537865	49.6848812751	66.2326355969	82.7277156415	9.20665621405095E-05	0.0001732065	0.0002030066	0.0001552584	1.54525912878878E-07	0.0001525405	6.84928231922029E-05	0.0001720177	0.000299245	0.0004028167	0.0002993146	5.65375054936253E-05	0.0001302616	0.0002249183	0.00044803	0.0005608598	6.07584239971309E-05	0.0001517179	0.0001623815	0.0003309137	6.30590518966056E-05	0.0001899466	0.0002293332	0.0001850373	6.08513029817288E-05	0.0002137558	0.0003243348	5.56286528730343E-05	0.0002210338	0.0003945112	4.89504394193231E-05	0.0002157136	4.19025160501071E-05	0.0002020748	0.000035145	2.90293677364241E-05
parte: postcentral	3.85985	3.730454	5.793168153	6.1274501488	0.7379989432	0.0482450536	0.388867	9.50747	4.59646	4.428716	6.5795825344	6.7991862178	0.8208211037	0.3985595768	0.910159	10.4388	-2.9772	2.08073	-2.8381277844	2.8443786622	-0.4606970194	-0.7963483223	-5.07654	-0.91066	-0.1111431122	0.1182393353	-0.1058562188	0.1565654047	-0.7214685439	-0.6823737413	-0.2208514363	0.0163821187	2.1657555103	0.462915659	2.1484960459	0.6128865759	0.2911902184	-0.6251160749	1.6698647738	2.5942773819	-0.2766687274	0.3967096061	-0.2278353813	0.5378676126	-0.2864800498	-0.8695122258	-0.6552818418	0.1462146789	-40.8176799873	-15.3607317481	37.0181045452	-46.4254978275	-21.1119273266	46.1881834143	2.6925865044	8.9786523473	20.4485726658	32.7447654313	36.7389953819	46.7659719882	56.8842893846	62.3739404926	70.6314924875	0.0047118278	0.0084034647	0.0081648854	0.0051127555	0.0016739542	0.00045641	0.0029498639	0.0076190143	0.0106358921	0.0105633555	0.008410518	0.0013988214	0.0045114112	0.007614568	0.009053851	0.0090117572	0.0007585905	0.0029283244	0.0057659313	0.0076513135	0.0004157092	0.0018758464	0.0042859082	0.0065349422	0.0002233046	0.0011438743	0.0029445157	0.0001225123	0.0007017932	0.0020096597	6.81981397429615E-05	0.0004318878	3.8343936454624E-05	0.0002657362	2.17624249085539E-05	1.2416330495663E-05
parte: posteriorcingulate	2.09082	1.81368	3.8046434198	4.2063642429	0.0818062337	-0.9830157973	0.599668	6.2237	3.75299	2.51882	4.907946632	4.5536536293	-0.0808933651	-0.938190193	1.48829	7.33527	-2.9402	1.49079	-2.997498701	2.4970387025	-1.0473726742	-0.3419551361	-4.46572	-1.48679	-0.0971236303	0.113909483	-0.0883357175	0.2143333218	-0.7515983795	0.0454308681	-0.2091615945	0.0181410704	2.6525363922	0.3563137054	2.6914361701	0.5391000117	0.7820112352	0.1597221549	2.3188364506	3.0512757897	-0.1286777183	0.1802325025	0.0002140199	0.3960645921	-0.1500214645	-0.8586784883	-0.2644821703	0.2035038173	-4.3078827614	-13.7385018192	31.9004254052	-5.8754869421	-20.2087320548	40.3512597262	5.797071174	12.6504434724	18.0136766085	29.8190654594	36.4534278593	45.8268252068	56.183128414	62.4965441076	82.4614388545	0.0021500128	0.0042297318	0.0049490331	0.0041908039	0.0024143243	0.0004070912	0.0012502782	0.0036355423	0.0060626863	0.0074460123	0.0071843785	0.0004916763	0.0018742562	0.0040002107	0.0062305513	0.0077389923	0.0001660459	0.0007802981	0.0020190413	0.0037748838	5.37826718725258E-05	0.0002989893	0.0009031993	0.0019532566	1.89596532070391E-05	0.0001208076	0.0004133763	7.29546441017038E-06	5.2343874357643E-05	0.0001997929	2.74173083272394E-06	2.19348183760832E-05	9.69651290930915E-07	8.56368920029581E-06	3.52878734922089E-07	1.46463978239008E-07
parte: precentral	5.13702	4.920867	6.6773504032	6.5106192935	0.2792550709	-0.7126432153	0.605624	11.0295	6.06924	5.53906	7.6315294571	7.2108119022	0.3107894652	-0.647641429	1.11703	12.384	-3.20387	2.0785	-2.9252195764	3.0506427913	-0.4781558665	-0.7489885996	-5.21032	-1.02872	-0.0990665555	0.1127701104	-0.0969419569	0.1568643463	-0.913594524	-0.5627458755	-0.2086820155	0.0178762078	2.7431411743	0.3567013741	2.7084695529	0.5382123145	0.1125466102	-0.1070318327	2.368847847	3.0854263306	-0.2305812389	0.4321520776	-0.1427186181	0.609282985	-0.40797813	-0.9864721881	-0.6105275154	0.2819129527	-35.2437266001	-3.8686048895	43.5251823957	-40.8695486619	-7.1851995901	47.0050388175	2.8642182658	9.2127227363	15.1882690721	25.735678728	38.1920327564	41.8007007859	46.7220041605	59.1900102282	69.3688562169	0.007846134	0.013776337	0.0127771642	0.0068291675	0.0003880966	0.0032263266	0.0050955231	0.0131629681	0.0181738876	0.0171384128	0.0115896287	0.0022796373	0.0074884984	0.0129549443	0.0155791332	0.0145686117	0.0011237065	0.0043923548	0.0088425391	0.012128057	0.0005893509	0.0026791239	0.0062081391	0.0096922898	0.0003009511	0.0015474662	0.004028476	0.0001582333	0.0009008485	0.0025743749	8.82802499194873E-05	0.0005512789	5.12037267650269E-05	0.0003492943	3.00105824990842E-05	1.75870635862486E-05
parte: precuneus	4.96403	4.311747	6.5977368561	6.4245787829	-0.1708873863	-1.188199848	1.130365	10.86345	5.93876	4.51266	7.8440556824	7.3700378314	-0.0597849265	-0.9991111719	2.0151	12.0576	-2.95561	2.023805	-2.7999574706	3.1983769877	-0.8274593298	-0.7830038033	-4.95078	-0.891267	-0.0859792754	0.1313756034	-0.091672663	0.1765389537	-1.1063125572	-0.5753114611	-0.223316744	0.0390622951	2.4013652802	0.2865386009	2.421982016	0.4451235844	0.8048473126	0.3184696987	2.135148406	2.7102994919	-0.1309240907	0.4117393047	-0.0699185405	0.615295541	-0.7810583563	-0.7906696467	-0.4902836978	0.3504379094	-10.2818489358	-44.8173588236	15.0092700061	-10.8125511633	-57.0827221212	38.9072209347	3.6179087639	13.8135954447	22.5345321624	33.2333927216	34.3105036655	42.051974815	55.37582553	58.4169896796	79.6356422387	0.0042349168	0.0067212012	0.0048486209	0.0010002318	0.0014720669	0.0014131829	0.0036557994	0.0086092899	0.0099272294	0.0065905395	0.0019466519	0.0022323911	0.0068112319	0.0102814345	0.0096353379	0.0057051552	0.0012334573	0.0045732988	0.0083940077	0.0097745535	0.0006586852	0.0028618245	0.0061525757	0.0084793036	0.0003517822	0.0017497502	0.004307299	0.0001924008	0.0010764969	0.0029814466	0.0001093504	0.0006778557	6.46323938995612E-05	0.0004382278	3.92354599492568E-05	2.40393325005249E-05
parte: rostralanteriorcingulate	1.54779	1.34558	2.5378973959	2.7289104453	0.4357018101	-0.4885096422	0.335086	4.05126	2.59468	2.22524	3.2570443275	3.0132477105	0.105350204	-0.7100350126	0.893896	5.0318	-2.98953	1.80089	-2.8861203458	2.3389503505	-0.8422346353	-0.7953062994	-4.62439	-0.998236	-0.1140734628	0.1355071273	-0.1156764083	0.1768228542	-0.9957125165	-0.8011874069	-0.2536895871	0.0182938352	2.9214291573	0.2973866463	2.9070721904	0.5088318349	-0.4829842163	0.820916385	2.6181235313	3.2165603638	-0.0062783244	0.1792345163	0.0026406909	0.2755578136	-0.6375850045	-0.4887938188	-0.1879656762	0.1667032987	0.1124236811	52.4194869762	24.8789878011	-3.7779822574	37.5759924467	-0.310006606	4.435456061	11.7533827315	19.6167923428	24.693035746	39.7071410526	51.910574903	55.4061325462	62.7967807738	76.336990968	0.0027843279	0.0031990441	0.0006518542	0.00092171	0.000267428	0.0004216704	0.0032387794	0.0057161234	0.0035528091	0.0002699918	0.0003242261	0.0027418027	0.0063286345	0.005830486	0.0021726328	0.0003855983	0.0021228176	0.0059701809	0.0070436632	0.0040548781	0.0015796983	0.0051996337	0.0073704663	0.0054734397	0.0011507641	0.0043193588	0.0070970854	0.0008275785	0.0034783158	0.0064738345	0.0005901662	0.0027402273	0.0004184453	0.0021239173	0.0002955295	0.0002082079
parte: rostralmiddlefrontal	3.07913	2.9902014	4.6437304674	5.212284952	-0.2972513238	-1.2918433214	0.201126	7.89795	3.775355	3.662703	5.287474527	5.6884153416	-0.3241085704	-1.249822433	0.201126	8.72625	-3.67946	2.15988	-3.5136684403	3.2152502466	-0.8767598597	-0.7119696618	-5.80522	-1.47518	-0.1266479045	0.1322136074	-0.1196978453	0.1780884668	-1.0124319423	-0.7535890793	-0.2504921854	0.0147689311	2.7336518764	0.4009242058	2.7138693604	0.5499815885	0.5372724544	-0.654522016	2.3302536011	3.1329753399	-0.2681327909	0.3289714009	-0.2275575389	0.5199840751	-0.7632514772	-0.6942823269	-0.5824109912	0.0840986297	-26.379376607	56.9777925815	39.6532121311	-33.6614355373	47.4213316258	12.2618161711	6.8431554471	14.8767124982	20.9320335818	28.8260213205	43.8919954508	46.7420095768	57.4759967833	74.6665737123	79.3416057209	0.0089179848	0.0063423292	0.0016924874	0.0017983175	0.0001990367	0.0004368166	0.0120018992	0.0140284337	0.0032123261	0.0012928371	0.0007460927	0.011517727	0.0175014246	0.00853325	0.0016200079	0.0012451872	0.0100075829	0.0179694231	0.0120532699	0.0047562776	0.0083441502	0.0167796444	0.0135089495	0.0072510294	0.0068449391	0.014906505	0.0134177693	0.0055970598	0.0129273504	0.0124533082	0.0045944191	0.0111237098	0.0037993554	0.0095925371	0.0031690033	0.0026653142
parte: superiorfrontal	1.24055	1.2097037	2.8250866032	3.7834363151	0.0497999004	-0.6981777169	0.1077895	4.7125075	2.03918	1.99203	3.4705999203	4.2576031492	-0.1083782185	-0.8937023367	0.1077895	5.7215675	-3.66277	1.92286	-3.4321535285	2.997791424	-0.8611422771	-0.7590692511	-5.43638	-1.6004	-0.0977663919	0.1058621034	-0.0909446228	0.1529691096	-1.0825893281	-0.3813631739	-0.195010975	0.0189047065	3.0792961121	0.3666815758	3.0233278978	0.5438988767	0.5339231087	-0.6430679981	2.6608518362	3.4074416161	-0.2855632901	0.3526058644	-0.2759357793	0.5308718476	-0.8431098522	-0.6388972419	-0.6427210569	0.0639247373	-7.1538319554	30.0073530113	54.4744978959	-11.3970760356	30.5636547108	41.1042866785	4.4711526285	15.5456511761	17.9483031485	33.4720123532	35.3004302869	48.7915514637	51.170360406	64.4589651516	73.7718108507	0.0136859176	0.012917868	0.0025036494	0.0017471273	0.002093406	0.0004150155	0.0158037637	0.0222431522	0.0132928672	0.0043803724	0.0007898728	0.0130264539	0.0221703527	0.0190378878	0.0111669809	0.0038067271	0.0103473893	0.01883332	0.0190175415	0.014765838	0.0086377269	0.0160922328	0.0164921141	0.0150650479	0.0074351116	0.0144139701	0.0142820719	0.0064085411	0.0129763187	0.0128363083	0.0055319232	0.0115688824	0.0048208978	0.0103709941	0.0042419998	0.0037532756
parte: superiorparietal	4.1332	3.904973	5.5950205118	5.8882878439	0.0538316016	-0.6866830447	0.527697	8.93454	5.07688	4.36987	6.414667788	6.3848191647	-0.0135657567	-0.7100757241	1.1199	10.0915	-2.95478	2.358727	-2.9472843809	3.3145462545	-0.8354511442	-0.7263703837	-5.45473	-0.721424	-0.0930383578	0.1262644157	-0.0979187764	0.1676226331	-1.0027528011	-0.6500482164	-0.2248020172	0.027937362	2.2836372852	0.3409112692	2.3058197516	0.5249413488	0.9126056482	1.1753518914	1.9646551609	2.6481051445	-0.2904340923	0.3922096789	-0.2219488127	0.6070019246	-0.4906990685	-0.7717890659	-0.6609100699	0.1437333524	-23.6644071822	-52.6053357398	21.4995822439	-25.4420430679	-61.8542097827	49.38533111	3.3871722595	15.3116281051	18.3185223453	28.6702948563	36.1517498051	45.0879282003	50.9091865995	68.5591868565	71.8818309381	0.0081352403	0.0107193284	0.0044435726	0.0019151414	0.0027483133	0.0004684462	0.00827283	0.0164540372	0.0138986761	0.0048462171	0.0013240067	0.0058650212	0.0150649746	0.0176043549	0.0116317717	0.0039788434	0.0037363475	0.0114383598	0.0163702351	0.0145245936	0.002347526	0.0081167592	0.0132021198	0.0139155352	0.0015450124	0.0058601214	0.0103241326	0.0010754287	0.0044514089	0.0084073686	0.0007693407	0.0034738752	0.0005521074	0.0027036973	0.0003950675	0.0002829659
